xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
-0.5	0.5	1	iteration	0	iteration	0	1	41
0.5	1.5	1 0	iteration	1	iteration	0	1	42
1.5	2.5	2 0	iteration	2	iteration	0	1	482
2.5	3.5	3 0	iteration	3	iteration	0	1	922
3.5	4.5	4 0	iteration	4	iteration	0	1	1362
4.5	5.5	5 0	iteration	5	iteration	0	1	1442
5.5	6.5	6 0	iteration	6	iteration	0	1	1482
6.5	7.5	7 0	iteration	7	iteration	0	1	1522
7.5	8.5	8 0	iteration	8	iteration	0	1	1562
8.5	9.5	9 0	iteration	9	iteration	0	1	1602
9.5	10.5	10 0	iteration	10	iteration	0	1	82
10.5	11.5	11 0	iteration	11	iteration	0	1	122
11.5	12.5	12 0	iteration	12	iteration	0	1	162
12.5	13.5	13 0	iteration	13	iteration	0	1	202
13.5	14.5	14 0	iteration	14	iteration	0	1	242
14.5	15.5	15 0	iteration	15	iteration	0	1	282
15.5	16.5	16 0	iteration	16	iteration	0	1	322
16.5	17.5	17 0	iteration	17	iteration	0	1	362
17.5	18.5	18 0	iteration	18	iteration	0	1	402
18.5	19.5	19 0	iteration	19	iteration	0	1	442
19.5	20.5	20 0	iteration	20	iteration	0	1	522
20.5	21.5	21 0	iteration	21	iteration	0	1	562
21.5	22.5	22 0	iteration	22	iteration	0	1	602
22.5	23.5	23 0	iteration	23	iteration	0	1	642
23.5	24.5	24 0	iteration	24	iteration	0	1	682
24.5	25.5	25 0	iteration	25	iteration	0	1	722
25.5	26.5	26 0	iteration	26	iteration	0	1	762
26.5	27.5	27 0	iteration	27	iteration	0	1	802
27.5	28.5	28 0	iteration	28	iteration	0	1	842
28.5	29.5	29 0	iteration	29	iteration	0	1	882
29.5	30.5	30 0	iteration	30	iteration	0	1	962
30.5	31.5	31 0	iteration	31	iteration	0	1	1002
31.5	32.5	32 0	iteration	32	iteration	0	1	1042
32.5	33.5	33 0	iteration	33	iteration	0	1	1082
33.5	34.5	34 0	iteration	34	iteration	0	1	1122
34.5	35.5	35 0	iteration	35	iteration	0	1	1162
35.5	36.5	36 0	iteration	36	iteration	0	1	1202
36.5	37.5	37 0	iteration	37	iteration	0	1	1242
37.5	38.5	38 0	iteration	38	iteration	0	1	1282
38.5	39.5	39 0	iteration	39	iteration	0	1	1322
39.5	40.5	40 0	iteration	40	iteration	0	1	1402
-0.5	0.5	0 1	iteration	0	iteration	1	1	1
0.5	1.5	1	iteration	1	iteration	1	1	41
1.5	2.5	2 1	iteration	2	iteration	1	1	483
2.5	3.5	3 1	iteration	3	iteration	1	1	923
3.5	4.5	4 1	iteration	4	iteration	1	1	1363
4.5	5.5	5 1	iteration	5	iteration	1	1	1443
5.5	6.5	6 1	iteration	6	iteration	1	1	1483
6.5	7.5	7 1	iteration	7	iteration	1	1	1523
7.5	8.5	8 1	iteration	8	iteration	1	1	1563
8.5	9.5	9 1	iteration	9	iteration	1	1	1603
9.5	10.5	10 1	iteration	10	iteration	1	1	83
10.5	11.5	11 1	iteration	11	iteration	1	1	123
11.5	12.5	12 1	iteration	12	iteration	1	1	163
12.5	13.5	13 1	iteration	13	iteration	1	1	203
13.5	14.5	14 1	iteration	14	iteration	1	1	243
14.5	15.5	15 1	iteration	15	iteration	1	1	283
15.5	16.5	16 1	iteration	16	iteration	1	1	323
16.5	17.5	17 1	iteration	17	iteration	1	1	363
17.5	18.5	18 1	iteration	18	iteration	1	1	403
18.5	19.5	19 1	iteration	19	iteration	1	1	443
19.5	20.5	20 1	iteration	20	iteration	1	1	523
20.5	21.5	21 1	iteration	21	iteration	1	1	563
21.5	22.5	22 1	iteration	22	iteration	1	1	603
22.5	23.5	23 1	iteration	23	iteration	1	1	643
23.5	24.5	24 1	iteration	24	iteration	1	1	683
24.5	25.5	25 1	iteration	25	iteration	1	1	723
25.5	26.5	26 1	iteration	26	iteration	1	1	763
26.5	27.5	27 1	iteration	27	iteration	1	1	803
27.5	28.5	28 1	iteration	28	iteration	1	1	843
28.5	29.5	29 1	iteration	29	iteration	1	1	883
29.5	30.5	30 1	iteration	30	iteration	1	1	963
30.5	31.5	31 1	iteration	31	iteration	1	1	1003
31.5	32.5	32 1	iteration	32	iteration	1	1	1043
32.5	33.5	33 1	iteration	33	iteration	1	1	1083
33.5	34.5	34 1	iteration	34	iteration	1	1	1123
34.5	35.5	35 1	iteration	35	iteration	1	1	1163
35.5	36.5	36 1	iteration	36	iteration	1	1	1203
36.5	37.5	37 1	iteration	37	iteration	1	1	1243
37.5	38.5	38 1	iteration	38	iteration	1	1	1283
38.5	39.5	39 1	iteration	39	iteration	1	1	1323
39.5	40.5	40 1	iteration	40	iteration	1	1	1403
-0.5	0.5	0 2	iteration	0	iteration	2	1	12
0.5	1.5	1 2	iteration	1	iteration	2	1	53
1.5	2.5	1	iteration	2	iteration	2	1	41
2.5	3.5	3 2	iteration	3	iteration	2	1	934
3.5	4.5	4 2	iteration	4	iteration	2	1	1374
4.5	5.5	5 2	iteration	5	iteration	2	1	1454
5.5	6.5	6 2	iteration	6	iteration	2	1	1494
6.5	7.5	7 2	iteration	7	iteration	2	1	1534
7.5	8.5	8 2	iteration	8	iteration	2	1	1574
8.5	9.5	9 2	iteration	9	iteration	2	1	1614
9.5	10.5	10 2	iteration	10	iteration	2	1	93
10.5	11.5	11 2	iteration	11	iteration	2	1	133
11.5	12.5	12 2	iteration	12	iteration	2	1	173
